so_simple--[2024-04-07 06:07:57.369346] , Network: grid_10, Trip Size: 1005, Average Time: 425.873, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1857
so_simple--[2024-04-07 06:12:57.789597] , Network: grid_10, Trip Size: 1006, Average Time: 428.478, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1856
so_simple--[2024-04-07 06:17:47.743469] , Network: grid_10, Trip Size: 1007, Average Time: 415.869, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1822
so_simple--[2024-04-07 07:07:06.254066] , Network: grid_10, Trip Size: 1008, Average Time: 420.258, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1824
so_simple--[2024-04-07 07:12:21.330912] , Network: grid_10, Trip Size: 1009, Average Time: 447.451, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1901
so_simple--[2024-04-07 07:49:22.120267] , Network: grid_10, Trip Size: 1000, Average Time: 434.72, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1901
so_simple--[2024-04-07 07:54:16.150779] , Network: grid_10, Trip Size: 1001, Average Time: 442.591, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1809
so_simple--[2024-04-07 07:59:23.294296] , Network: grid_10, Trip Size: 1002, Average Time: 459.271, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1877
so_simple--[2024-04-07 08:04:31.089955] , Network: grid_10, Trip Size: 1003, Average Time: 439.599, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1946
so_simple--[2024-04-07 08:09:33.675888] , Network: grid_10, Trip Size: 1004, Average Time: 452.172, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1868
so_simple--[2024-04-07 08:14:38.873374] , Network: grid_10, Trip Size: 1005, Average Time: 454.202, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1856
so_simple--[2024-04-07 08:19:38.242081] , Network: grid_10, Trip Size: 1006, Average Time: 442.293, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1856
so_simple--[2024-04-07 08:24:22.302281] , Network: grid_10, Trip Size: 1007, Average Time: 411.537, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1791
so_simple--[2024-04-07 08:29:19.861875] , Network: grid_10, Trip Size: 1008, Average Time: 436.802, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1857
so_simple--[2024-04-07 08:34:32.677001] , Network: grid_10, Trip Size: 1009, Average Time: 472.829, Increase factor: 1.075, Congestion T: 3, Maxspeed: 15.0, sim_time: 1901
