ue_simple--[2024-03-27 14:36:44.192495] , Network: rand_20, Trip Size: 1034, Average Time: 296.41, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1684
so_simple--[2024-03-27 14:38:09.315662] , Network: rand_20, Trip Size: 1035, Average Time: 314.05, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1601
ue_simple--[2024-03-27 14:39:14.370942] , Network: rand_20, Trip Size: 1035, Average Time: 304.073, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1681
so_simple--[2024-03-27 14:40:30.885490] , Network: rand_20, Trip Size: 1036, Average Time: 283.196, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1596
ue_simple--[2024-03-27 14:41:33.133607] , Network: rand_20, Trip Size: 1036, Average Time: 311.479, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1645
so_simple--[2024-03-27 14:43:00.199775] , Network: rand_20, Trip Size: 1037, Average Time: 329.266, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
ue_simple--[2024-03-27 14:44:02.562527] , Network: rand_20, Trip Size: 1037, Average Time: 353.426, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
so_simple--[2024-03-27 14:45:29.409470] , Network: rand_20, Trip Size: 1038, Average Time: 324.455, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1637
ue_simple--[2024-03-27 14:46:41.195138] , Network: rand_20, Trip Size: 1038, Average Time: 340.999, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1689
so_simple--[2024-03-27 14:48:14.867512] , Network: rand_20, Trip Size: 1039, Average Time: 332.474, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1613
ue_simple--[2024-03-27 14:49:19.329996] , Network: rand_20, Trip Size: 1039, Average Time: 323.828, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1638
so_simple--[2024-03-27 14:50:46.678925] , Network: rand_20, Trip Size: 1040, Average Time: 302.937, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1665
ue_simple--[2024-03-27 14:51:54.871709] , Network: rand_20, Trip Size: 1040, Average Time: 328.822, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1637
