
so_simple--[2024-04-08 15:34:29.720628] , Network: rand_20, Trip Size: 2044, Average Time: 171.676, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2299
ue_simple--[2024-04-08 15:35:15.040400] , Network: rand_20, Trip Size: 2044, Average Time: 177.73, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2322
so_simple--[2024-04-08 15:36:10.102812] , Network: rand_20, Trip Size: 2045, Average Time: 170.903, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2357
ue_simple--[2024-04-08 15:36:54.706222] , Network: rand_20, Trip Size: 2045, Average Time: 179.24, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2379
so_simple--[2024-04-08 15:37:49.328985] , Network: rand_20, Trip Size: 2046, Average Time: 182.734, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2352
ue_simple--[2024-04-08 15:38:34.166368] , Network: rand_20, Trip Size: 2046, Average Time: 182.452, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2397
so_simple--[2024-04-08 15:39:28.842998] , Network: rand_20, Trip Size: 2047, Average Time: 172.486, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2293
ue_simple--[2024-04-08 15:40:13.706935] , Network: rand_20, Trip Size: 2047, Average Time: 173.861, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2306
so_simple--[2024-04-08 15:41:10.561239] , Network: rand_20, Trip Size: 2048, Average Time: 180.025, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2301
ue_simple--[2024-04-08 15:41:59.304004] , Network: rand_20, Trip Size: 2048, Average Time: 182.436, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2363
so_simple--[2024-04-08 15:42:57.037786] , Network: rand_20, Trip Size: 2049, Average Time: 169.418, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2388
ue_simple--[2024-04-08 15:43:44.023164] , Network: rand_20, Trip Size: 2049, Average Time: 179.907, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2362

