ue_simple--[2024-03-28 12:36:42.445599] , Network: net_001, Trip Size: 2035, Average Time: 508.994, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1580
so_simple--[2024-03-28 12:44:32.208368] , Network: net_001, Trip Size: 2036, Average Time: 497.481, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1513
ue_simple--[2024-03-28 12:51:40.976222] , Network: net_001, Trip Size: 2036, Average Time: 560.518, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1562
so_simple--[2024-03-28 12:58:53.543449] , Network: net_001, Trip Size: 2037, Average Time: 475.707, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1428
ue_simple--[2024-03-28 13:05:27.460676] , Network: net_001, Trip Size: 2037, Average Time: 522.311, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1465
so_simple--[2024-03-28 13:13:11.259097] , Network: net_001, Trip Size: 2038, Average Time: 490.896, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1507
ue_simple--[2024-03-28 13:20:13.807091] , Network: net_001, Trip Size: 2038, Average Time: 555.864, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1538
so_simple--[2024-03-28 13:27:39.222439] , Network: net_001, Trip Size: 2039, Average Time: 475.0025, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1468
ue_simple--[2024-03-28 13:34:29.935636] , Network: net_001, Trip Size: 2039, Average Time: 501.5765, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1505
so_simple--[2024-03-28 13:43:15.212446] , Network: net_001, Trip Size: 2040, Average Time: 526.664, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1550
ue_simple--[2024-03-28 13:50:29.599663] , Network: net_001, Trip Size: 2040, Average Time: 536.2475, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1558
so_simple--[2024-03-28 13:59:24.104234] , Network: net_001, Trip Size: 2041, Average Time: 528.557, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1572
ue_simple--[2024-03-28 14:06:54.736220] , Network: net_001, Trip Size: 2041, Average Time: 568.9775, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1570
so_simple--[2024-03-28 14:30:21.921826] , Network: net_001, Trip Size: 2042, Average Time: 500.204, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1553
ue_simple--[2024-03-28 14:37:08.486495] , Network: net_001, Trip Size: 2042, Average Time: 508.728, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1482
so_simple--[2024-03-28 14:45:18.304054] , Network: net_001, Trip Size: 2043, Average Time: 505.882, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1482
ue_simple--[2024-03-28 14:52:07.531177] , Network: net_001, Trip Size: 2043, Average Time: 525.126, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1483
